Card Name,Purchases,On Winning Board,On Losing Board,Win Rate %,Avg Survival Turns,Avg Power
Platypus,6998,2085,4913,29.79,22.9,20.9
Frida Kahlo,6677,1225,5452,18.35,23.8,31.2
Moon Landing,6552,1332,5220,20.33,23.5,37.1
Ottoman Empire,6381,1824,4557,28.58,23.4,35.3
Space-Time,6207,2292,3915,36.93,24.2,44.5
Pop Art,6042,1291,4751,21.37,22.9,26.1
Mongol Empire,6025,2126,3899,35.29,23.3,28.3
Graffiti,6017,1193,4824,19.83,22.9,26.1
Ragnarök,5963,1928,4035,32.33,24.3,42.6
Shadow Puppetry,5887,1730,4157,29.39,22.7,26.0
Betelgeuse,5581,1964,3617,35.19,23.2,31.7
Golden Ratio,5519,1172,4347,21.24,23.5,37.8
Cosmic Microwave Background,5315,1294,4021,24.35,24.4,44.1
Sparta,5264,1919,3345,36.46,23.2,30.8
World War II,5103,2517,2586,49.32,23.7,36.4
Roman Empire,5050,2064,2986,40.87,24.0,38.0
Andromeda Galaxy,5048,1069,3979,21.18,24.4,41.1
Age of Discovery,4988,1449,3539,29.05,23.5,30.5
Milky Way,4979,1090,3889,21.89,24.3,42.2
Guernica,4907,1058,3849,21.56,24.5,42.4
Kabuki,4891,915,3976,18.71,23.3,38.1
Dark Matter,4783,1184,3599,24.75,24.3,44.5
Pulsar,4587,1444,3143,31.48,23.4,33.9
French Revolution,4575,989,3586,21.62,23.7,33.9
Quasar,4562,938,3624,20.56,24.3,43.6
Olympus,4510,949,3561,21.04,23.6,35.8
Isaac Newton,4355,1189,3166,27.3,24.5,46.3
Event Horizon,4225,1081,3144,25.59,24.3,43.3
Minimalism,4213,1015,3198,24.09,22.8,25.8
Higgs Boson,4132,860,3272,20.81,24.4,41.7
Valhalla,4130,846,3284,20.48,23.6,34.4
Schrödinger's Cat,3998,609,3389,15.23,23.5,35.1
Blue Whale,3997,1854,2143,46.38,23.8,33.1
Nebula,3885,784,3101,20.18,23.4,35.4
DNA,3687,791,2896,21.45,23.5,35.9
Turing Machine,3658,961,2697,26.27,24.4,42.6
π (Pi),3633,655,2978,18.03,23.4,34.9
Quantum Mechanics,3516,737,2779,20.96,24.4,40.7
Komodo Dragon,3477,1669,1808,48.0,23.2,27.2
Gravity,3401,1110,2291,32.64,23.5,32.2
Cold War,3336,1091,2245,32.7,23.3,30.7
Gothic Architecture,3286,1018,2268,30.98,23.3,29.3
Quetzalcoatl,3258,725,2533,22.25,24.5,36.6
Entropy,3257,799,2458,24.53,23.7,32.5
Supernova,3234,1160,2074,35.87,24.0,37.6
Industrial Revolution,3215,1561,1654,48.55,23.1,28.8
Surrealism,3206,556,2650,17.34,23.4,35.8
Coelacanth,3206,1528,1678,47.66,24.3,39.4
Rainforest,3201,628,2573,19.62,23.7,31.5
Renaissance,3176,848,2328,26.7,24.4,40.0
