game,turns,winner,winner_hp
1,35,rare_hunter,48
2,28,tempo,115
3,28,warrior,142
4,28,tempo,150
5,33,balancer,7
6,32,balancer,3
7,33,rare_hunter,54
8,31,warrior,89
9,31,rare_hunter,99
10,36,balancer,27
11,29,balancer,142
12,34,economist,60
13,35,tempo,8
14,35,economist,66
15,30,tempo,138
16,30,rare_hunter,36
17,32,tempo,56
18,33,economist,13
19,35,tempo,8
20,33,balancer,88
21,36,tempo,12
22,37,rare_hunter,4
23,32,evolver,7
24,30,warrior,102
25,32,rare_hunter,50
26,32,warrior,41
27,35,balancer,3
28,36,warrior,8
29,30,evolver,87
30,33,economist,16
31,37,evolver,21
32,30,tempo,100
33,35,economist,4
34,34,evolver,60
35,32,rare_hunter,94
36,29,tempo,116
37,30,evolver,24
38,32,tempo,33
39,33,economist,40
40,35,warrior,16
41,30,balancer,93
42,35,random,45
43,36,balancer,60
44,34,tempo,4
45,30,rare_hunter,119
46,32,economist,99
47,30,warrior,76
48,33,rare_hunter,31
49,30,tempo,62
50,38,tempo,11
51,34,balancer,16
52,33,rare_hunter,24
53,34,balancer,6
54,33,evolver,90
55,32,rare_hunter,93
56,30,balancer,104
57,32,warrior,9
58,36,balancer,3
59,33,balancer,68
60,34,economist,5
61,34,warrior,12
62,30,balancer,71
63,36,rare_hunter,32
64,30,balancer,93
65,34,tempo,15
66,31,rare_hunter,92
67,34,tempo,22
68,32,balancer,46
69,30,economist,63
70,31,rare_hunter,49
71,37,tempo,25
72,28,tempo,79
73,36,rare_hunter,5
74,34,warrior,64
75,28,warrior,108
76,34,balancer,55
77,32,warrior,106
78,34,economist,46
79,37,economist,4
80,40,rare_hunter,5
81,29,warrior,109
82,30,balancer,33
83,35,economist,8
84,36,economist,8
85,33,rare_hunter,33
86,33,warrior,27
87,32,warrior,13
88,30,evolver,29
89,32,warrior,106
90,33,evolver,84
91,31,tempo,69
92,33,tempo,51
93,36,evolver,10
94,29,evolver,109
95,38,warrior,12
96,37,random,1
97,34,rare_hunter,15
98,31,random,92
99,34,balancer,40
100,31,economist,38
101,36,rare_hunter,16
102,35,balancer,32
103,35,economist,2
104,34,warrior,17
105,29,evolver,99
106,33,rare_hunter,57
107,40,tempo,4
108,35,economist,14
109,37,economist,2
110,32,economist,2
111,27,warrior,136
112,33,warrior,47
113,33,economist,47
114,29,balancer,105
115,34,rare_hunter,2
116,38,rare_hunter,4
117,26,rare_hunter,89
118,37,economist,5
119,34,tempo,5
120,32,evolver,49
121,35,tempo,24
122,30,balancer,44
123,35,economist,33
124,31,economist,17
125,30,rare_hunter,81
126,36,evolver,37
127,33,rare_hunter,36
128,31,evolver,61
129,30,evolver,63
130,28,balancer,90
131,37,balancer,5
132,33,rare_hunter,21
133,34,evolver,4
134,33,warrior,85
135,33,balancer,9
136,34,balancer,69
137,36,warrior,33
138,27,rare_hunter,86
139,34,balancer,2
140,26,evolver,123
141,33,tempo,36
142,31,tempo,80
143,33,rare_hunter,16
144,35,rare_hunter,24
145,27,tempo,126
146,30,warrior,120
147,31,balancer,74
148,30,rare_hunter,91
149,35,warrior,67
150,29,rare_hunter,115
151,33,economist,12
152,34,tempo,75
153,34,economist,21
154,33,economist,4
155,31,balancer,51
156,35,economist,3
157,33,rare_hunter,39
158,30,economist,11
159,30,warrior,138
160,32,economist,10
161,30,evolver,109
162,31,economist,95
163,30,warrior,76
164,36,balancer,28
165,34,economist,6
166,33,rare_hunter,16
167,35,rare_hunter,2
168,36,balancer,10
169,34,warrior,29
170,31,warrior,43
171,30,rare_hunter,88
172,29,economist,83
173,34,evolver,35
174,34,builder,8
175,34,warrior,29
176,37,warrior,19
177,38,evolver,24
178,26,tempo,140
179,35,economist,6
180,33,economist,2
181,30,warrior,83
182,32,rare_hunter,72
183,32,economist,100
184,29,tempo,109
185,33,economist,35
186,28,economist,64
187,37,evolver,5
188,32,warrior,79
189,31,tempo,84
190,27,warrior,121
191,34,rare_hunter,54
192,34,evolver,47
193,30,warrior,40
194,27,evolver,101
195,29,warrior,119
196,30,tempo,101
197,29,rare_hunter,105
198,32,evolver,7
199,30,economist,65
200,32,economist,52
201,31,warrior,97
202,35,rare_hunter,40
203,32,economist,72
204,34,rare_hunter,23
205,31,warrior,79
206,33,evolver,40
207,31,warrior,93
208,33,warrior,66
209,32,evolver,6
210,27,rare_hunter,114
211,35,economist,30
212,34,economist,80
213,36,balancer,11
214,36,tempo,2
215,31,economist,7
216,28,tempo,108
217,32,economist,34
218,37,rare_hunter,7
219,31,economist,47
220,34,evolver,1
221,36,economist,6
222,28,evolver,143
223,25,rare_hunter,146
224,34,warrior,46
225,28,economist,92
226,31,evolver,121
227,34,rare_hunter,32
228,29,warrior,101
229,34,random,27
230,38,economist,11
231,31,tempo,111
232,36,evolver,47
233,33,warrior,43
234,28,rare_hunter,136
235,32,economist,28
236,31,tempo,48
237,32,economist,65
238,37,economist,4
239,34,rare_hunter,10
240,34,economist,38
241,35,evolver,25
242,38,evolver,1
243,26,warrior,131
244,35,warrior,8
245,32,evolver,47
246,31,rare_hunter,91
