game_num,winner_strategy,total_turns,winner_hp,avg_gold_per_player,total_damage,total_kills,combo_points,synergy_points,rare_cards_played,copies_triggered,eliminations
1,rare_hunter,29,43,173.0,592,57,879,364,31,19,"evolver,economist,tempo,rare_hunter"
2,economist,24,89,120.5,629,52,600,283,19,11,"builder,random,rare_hunter,economist"
3,rare_hunter,21,127,91.25,527,34,588,276,9,11,"random,warrior,builder,rare_hunter"
4,rare_hunter,24,129,100.5,494,39,622,306,16,15,"balancer,random,evolver,rare_hunter"
5,rare_hunter,34,3,153.0,678,68,890,393,21,26,"random,evolver,warrior,rare_hunter"
6,balancer,27,73,155.0,545,55,866,371,24,20,"economist,evolver,tempo,balancer"
7,rare_hunter,32,5,176.5,647,64,991,378,34,19,"warrior,economist,tempo,rare_hunter"
8,random,30,34,145.0,610,56,1123,339,12,15,"economist,builder,balancer,random"
9,warrior,21,150,128.5,493,32,483,274,20,17,"economist,evolver,builder,warrior"
10,tempo,19,150,85.5,511,29,474,242,15,8,"random,warrior,balancer,tempo"
11,rare_hunter,25,58,115.0,607,51,812,309,18,14,"random,tempo,evolver,rare_hunter"
12,economist,27,104,159.75,576,67,800,379,22,19,"balancer,warrior,random,economist"
13,economist,25,69,130.25,541,46,465,315,17,7,"balancer,rare_hunter,random,economist"
14,tempo,19,143,106.25,518,27,608,252,21,12,"evolver,economist,builder,tempo"
15,tempo,20,150,75.0,502,28,600,245,9,11,"builder,balancer,random,tempo"
16,warrior,36,28,208.25,612,68,1026,394,33,29,"economist,balancer,rare_hunter,warrior"
17,tempo,20,150,86.25,475,28,649,260,12,6,"balancer,builder,random,tempo"
18,tempo,23,134,101.0,502,44,696,308,16,8,"balancer,builder,random,tempo"
19,rare_hunter,28,93,129.25,540,61,748,354,21,18,"evolver,random,balancer,rare_hunter"
20,tempo,24,143,111.0,491,43,657,298,25,14,"evolver,warrior,balancer,tempo"
21,rare_hunter,26,94,106.5,569,51,869,322,16,13,"random,builder,warrior,rare_hunter"
22,economist,23,95,118.0,523,41,690,313,22,12,"warrior,evolver,balancer,economist"
23,evolver,26,86,137.25,570,56,607,340,25,16,"balancer,rare_hunter,economist,evolver"
